instr.started,instr.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instr2.started,instr2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cue,tar,corrAns,targOrientation
0,5.9021,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,5.9022,8.0344,,,,,,,,,,,,,,,,,,,,
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,8.0526,8.2831,0.4,8.2832,9.8065,left,1,1.0017,,9.8067,10.802,0,0,0,33,1,stim/both.png,stim/neutralLeft.png,left,0
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,10.8033,11.2514,0.45,11.2515,12.3186,left,1,0.5406,,12.3187,13.3168,0,1,1,13,1,stim/both.png,stim/congRight.png,left,180
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,13.3175,13.8668,0.55,13.8669,14.8164,left,0,0.4147,,14.8165,15.8174,0,2,2,26,1,stim/centre.png,stim/incongRight.png,right,0
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,15.818,16.2174,0.4,16.2174,17.2341,left,1,0.485,,17.2341,18.2346,0,3,3,15,1,stim/blank.png,stim/congRight.png,left,180
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,18.2351,18.6345,0.4,18.6345,19.6344,right,1,0.4727,,19.6345,20.6354,0,4,4,6,1,stim/centre.png,stim/congLeft.png,right,180
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,20.6361,21.185,0.55,21.185,22.3352,left,1,0.6127,,22.3353,23.3347,0,5,5,14,1,stim/centre.png,stim/congRight.png,left,180
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,23.3352,23.8349,0.5,23.835,25.0673,left,1,0.6973,,25.0674,26.0669,0,6,6,0,1,stim/upper.png,stim/congLeft.png,left,0
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,26.0674,26.4671,0.4,26.4672,27.7488,right,1,0.7479,,27.7488,28.7485,0,7,7,21,1,stim/both.png,stim/incongLeft.png,right,180
,,395570,001,2025-10-14_09h47.03.465,attention_network_task,2023.2.2,Win32,59.88023952,,,28.7489,29.2486,0.5,29.2486,30.4495,left,1,0.6841,,30.4496,31.4499,0,8,8,17,1,stim/both.png,stim/incongLeft.png,left,0
