instr.started,instr.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,instr2.started,instr2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cue,tar,corrAns,targOrientation
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,78.7888,79.3379,0.55,79.338,80.5547,left,1,0.6888,,80.5547,81.5547,0,30,30,2,1,stim/centre.png,stim/congLeft.png,left,0
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,81.5553,82.0548,0.5,82.0548,83.1716,right,1,0.5855,,83.1716,84.1714,0,31,31,23,1,stim/blank.png,stim/incongLeft.png,right,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,84.1719,84.6714,0.5,84.6714,85.705,right,1,0.4995,,85.705,86.7047,0,32,32,10,1,stim/centre.png,stim/congRight.png,right,0
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,86.7053,87.2547,0.55,87.2547,88.2716,right,1,0.4832,,88.2717,89.2716,0,33,33,37,1,stim/both.png,stim/neutralLeft.png,right,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,89.272,89.8213,0.55,89.8214,90.938,right,1,0.589,,90.9381,91.938,0,34,34,22,1,stim/centre.png,stim/incongLeft.png,right,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,91.9387,92.488,0.55,92.488,93.5049,left,1,0.483,,93.5049,94.5047,0,35,35,1,1,stim/both.png,stim/congLeft.png,left,0
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,94.5052,95.0547,0.55,95.0547,96.1048,left,1,0.5221,,96.1049,97.1047,0,36,36,15,1,stim/blank.png,stim/congRight.png,left,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,97.105,97.6047,0.5,97.6047,98.6215,right,1,0.485,,98.6215,99.6215,0,37,37,8,1,stim/upper.png,stim/congRight.png,right,0
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,99.622,100.1713,0.55,100.1713,101.288,left,1,0.5817,,101.288,102.2881,0,38,38,44,1,stim/lower.png,stim/neutralRight.png,left,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,102.2886,102.8376,0.55,102.8377,103.9047,right,1,0.5493,,103.9047,104.9046,0,39,39,40,1,stim/upper.png,stim/neutralRight.png,right,0
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,104.9051,105.3047,0.4,105.3047,106.3882,right,1,0.5511,,106.3882,107.388,0,40,40,25,1,stim/both.png,stim/incongRight.png,right,0
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,107.3884,107.8379,0.45,107.838,108.9548,right,1,0.5881,,108.9548,109.9546,0,41,41,39,1,stim/blank.png,stim/neutralLeft.png,right,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,109.955,110.4045,0.45,110.4046,111.4048,right,1,0.4706,,111.4049,112.4048,0,42,42,6,1,stim/centre.png,stim/congLeft.png,right,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,112.4052,112.9045,0.5,112.9046,114.0714,left,1,0.6406,,114.0714,115.0716,0,43,43,28,1,stim/lower.png,stim/incongRight.png,left,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,115.072,115.5213,0.45,115.5214,116.5881,right,1,0.5352,,116.5882,117.588,0,44,44,4,1,stim/lower.png,stim/congLeft.png,right,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,117.5885,118.088,0.5,118.0881,119.1882,right,1,0.5661,,119.1882,120.188,0,45,45,21,1,stim/both.png,stim/incongLeft.png,right,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,120.1884,120.6381,0.45,120.6381,121.8048,right,1,0.6342,,121.8049,122.8046,0,46,46,38,1,stim/centre.png,stim/neutralLeft.png,right,180
,,890547,001,2025-11-12_16h52.00.593,attention_network_task,2023.2.2,Win32,60.24096386,,,122.8051,123.3046,0.5,123.3047,124.4711,left,1,0.6338,,124.4711,125.4713,0,47,47,32,1,stim/upper.png,stim/neutralLeft.png,left,0
